category,modifiedtripleset,originaltripleset,lexicalisations,triplesetsize,id,prediction_lora-7b,execution_time_lora-7b
SportsTeam,"[{'object': 'Arapiraca', 'property': 'location', 'subject': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca'}, {'object': 'Campeonato_Brasileiro_Série_C', 'property': 'league', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Brazil', 'property': 'country', 'subject': 'Campeonato_Brasileiro_Série_C'}, {'object': '""\'\'Alvinegro""', 'property': 'nickname', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca', 'property': 'ground', 'subject': 'Agremiação_Sportiva_Arapiraquense'}]","[[{'object': 'Arapiraca', 'property': 'location', 'subject': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca'}, {'object': 'Campeonato_Brasileiro_Série_C', 'property': 'league', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Brazil', 'property': 'country', 'subject': 'Campeonato_Brasileiro_Série_C'}, {'object': '""\'\'Alvinegro""@en', 'property': 'nickname', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca', 'property': 'ground', 'subject': 'Agremiação_Sportiva_Arapiraquense'}]]",[],5,1,"Output text: The nickname of Agremiação Sportiva Arapiraquense, who play in the Campeonato Brasileiro Série C league in Brazil, is Alvinegro. Their home ground is the Estadio Municipal Coaracy da Mata Fonseca in Arapiraca.",3.112921953201294
Astronaut,"[{'object': '1964-10-13', 'property': 'birthDate', 'subject': 'Nie_Haisheng'}, {'object': 'Fighter_pilot', 'property': 'occupation', 'subject': 'Nie_Haisheng'}]","[[{'object': '1964-10-13', 'property': 'birthDate', 'subject': 'Nie_Haisheng'}, {'object': 'Fighter_pilot', 'property': 'occupation', 'subject': 'Nie_Haisheng'}]]",[],2,2,Output text: Nie Haisheng was born on October 13th 1964 and was a fighter pilot.,1.5318739414215088
Airport,"[{'object': 'Fawkham', 'property': 'city', 'subject': 'MotorSport_Vision'}]","[[{'object': 'Fawkham', 'property': 'locationCity', 'subject': 'MotorSport_Vision'}]]",[],1,3,Output text: MotorSport Vision is located in Fawkham.,1.0116829872131348
Athlete,"[{'object': '185.0 (centimetres)', 'property': 'height', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'Otkrytiye_Arena', 'property': 'ground', 'subject': 'FC_Spartak_Moscow'}, {'object': 'FC_Spartak_Moscow', 'property': 'club', 'subject': 'Aleksandr_Prudnikov'}]","[[{'object': '""185.0""^^<http://dbpedia.org/datatype/centimetre>', 'property': 'Person/height', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'Otkrytiye_Arena', 'property': 'ground', 'subject': 'FC_Spartak_Moscow'}, {'object': 'FC_Spartak_Moscow', 'property': 'team', 'subject': 'Aleksandr_Prudnikov'}], [{'object': '""185.0""^^<http://dbpedia.org/datatype/centimetre>', 'property': 'Person/height', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'Otkrytiye_Arena', 'property': 'ground', 'subject': 'FC_Spartak_Moscow'}, {'object': 'FC_Spartak_Moscow', 'property': 'clubs', 'subject': 'Aleksandr_Prudnikov'}]]",[],3,4,"Output text: Aleksandr Prudnikov, who is 185 cm tall, plays for FC Spartak Moscow, the home ground of which, is the Otkrytiye Arena.",2.054241180419922
City,"[{'object': '1777539', 'property': 'populationMetro', 'subject': 'Ciudad_Ayala'}, {'object': '""City Manager""', 'property': 'leaderTitle', 'subject': 'Ciudad_Ayala'}, {'object': 'City', 'property': 'type', 'subject': 'Ciudad_Ayala'}, {'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': 'Council-manager_government', 'property': 'governmentType', 'subject': 'Ciudad_Ayala'}]","[[{'object': '1777539', 'property': 'populationMetro', 'subject': 'Ciudad_Ayala'}, {'object': 'City Manager', 'property': 'leaderTitle', 'subject': 'Ciudad_Ayala'}, {'object': 'City', 'property': 'type', 'subject': 'Ciudad_Ayala'}, {'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': 'Council-manager_government', 'property': 'governmentType', 'subject': 'Ciudad_Ayala'}]]",[],5,5,Output text: Ciudad Ayala is a city led by the city manager with a population density of 1604.0. It has a population of 1777539. It is governed by a council manager government.,2.5572879314422607
MusicalWork,"[{'object': 'Squeeze_(The_Velvet_Underground_album)', 'property': 'precededBy', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': '1969:_The_Velvet_Underground_Live', 'property': 'followedBy', 'subject': 'Squeeze_(The_Velvet_Underground_album)'}]","[[{'object': 'Squeeze_(The_Velvet_Underground_album)', 'property': 'previousWork', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': '1969:_The_Velvet_Underground_Live', 'property': 'subsequentWork', 'subject': 'Squeeze_(The_Velvet_Underground_album)'}]]",[],2,6,Output text: Squeeze (The Velvet Underground album) was preceded by Bootleg Series Volume 1: The Quine Tapes and followed by 1969: The Velvet Underground Live.,2.3531007766723633
City,"[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': 'Governator', 'property': 'leaderTitle', 'subject': 'Ciudad_Ayala'}, {'object': 'Mexico', 'property': 'country', 'subject': 'Ciudad_Ayala'}, {'object': '1147.0', 'property': 'elevationAboveTheSeaLevel', 'subject': 'Ciudad_Ayala'}, {'object': 'Pacific_Daylight_Time', 'property': 'timeZone', 'subject': 'Ciudad_Ayala'}]","[[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': 'Governator', 'property': 'leaderTitle', 'subject': 'Ciudad_Ayala'}, {'object': 'Mexico', 'property': 'country', 'subject': 'Ciudad_Ayala'}, {'object': '1147.0', 'property': 'elevation', 'subject': 'Ciudad_Ayala'}, {'object': 'Pacific_Daylight_Time', 'property': 'timeZone', 'subject': 'Ciudad_Ayala'}]]",[],5,7,"Output text: The population density of Ciudad Ayala, Mexico, is 1604.0. It is led by the Governor and is located 1147 metres above sea level. The time zone is Pacific Daylight Time.",2.4479732513427734
Scientist,"[{'object': '1991-12-09', 'property': 'deathDate', 'subject': 'Olga_Bondareva'}]","[[{'object': '1991-12-01', 'property': 'deathDate', 'subject': 'Olga_Bondareva'}], [{'object': '1991-12-09', 'property': 'deathDate', 'subject': 'Olga_Bondareva'}]]",[],1,8,Output text: Olga Bondareva died on 9th December 1991.,1.227320909500122
Scientist,"[{'object': '1703-05-27', 'property': 'foundingDate', 'subject': 'Saint_Petersburg'}, {'object': 'Saint_Petersburg', 'property': 'deathPlace', 'subject': 'Olga_Bondareva'}, {'object': '1439.0', 'property': 'areaTotal', 'subject': 'Saint_Petersburg'}]","[[{'object': '1703-05-27', 'property': 'foundingDate', 'subject': 'Saint_Petersburg'}, {'object': 'Saint_Petersburg', 'property': 'deathPlace', 'subject': 'Olga_Bondareva'}, {'object': '1439.0', 'property': 'areaTotal', 'subject': 'Saint_Petersburg'}]]",[],3,9,"Output text: Olga Bondareva died in Saint Petersburg, which was founded on 27 May 1703 and has a total area of 1439.",1.9465560913085938
City,"[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}]","[[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}], [{'object': '1603.87', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}]]",[],1,10,Output text: The population density of Ciudad Ayala is 1604.0.,1.119359016418457
Athlete,"[{'object': '1987-08-25', 'property': 'birthDate', 'subject': 'Piotr_Hallmann'}]","[[{'object': '1987-01-01', 'property': 'birthDate', 'subject': 'Piotr_Hallmann'}], [{'object': '1987-08-25', 'property': 'birthDate', 'subject': 'Piotr_Hallmann'}]]",[],1,11,Output text: Piotr Hallmann was born on 25 August 1987.,1.2212018966674805
Scientist,"[{'object': '01325', 'property': 'areaCode', 'subject': 'Darlington'}]","[[{'object': '01325', 'property': 'areaCode', 'subject': 'Darlington'}]]",[],1,12,Output text: Darlington has the area code 01325.,1.0107028484344482
