id,category,tripleset_size,tripleset,lexicalisations,prediction_gpt-3.5-turbo-0613,bleu_nltk_gpt-3.5-turbo-0613,meteor_gpt-3.5-turbo-0613,execution_time_gpt-3.5-turbo-0613
1,SportsTeam,5,"[{'object': 'Arapiraca', 'property': 'location', 'subject': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca'}, {'object': 'Campeonato_Brasileiro_Série_C', 'property': 'league', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Brazil', 'property': 'country', 'subject': 'Campeonato_Brasileiro_Série_C'}, {'object': '""\'\'Alvinegro""', 'property': 'nickname', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca', 'property': 'ground', 'subject': 'Agremiação_Sportiva_Arapiraquense'}]","['Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Agremiação Sportiva Arapiraquense, nicknamed ""Alvinegro"", lay in the Campeonato Brasileiro Série C league from Brazil.', 'Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Alvinegro, the nickname of Agremiação Sportiva Arapiraquense, play in the Campeonato Brasileiro Série C league from Brazil.']","The Estádio Municipal Coaracy da Mata Fonseca is located in Arapiraca. Agremiação Sportiva Arapiraquense plays in the Campeonato Brasileiro Série C, which is a league in Brazil. The team is nicknamed ""Alvinegro"" and their home ground is the Estádio Municipal Coaracy da Mata Fonseca.",0.2971752224486841,0.5809389707798147,2.8528056144714355
2,Astronaut,2,"[{'object': '1964-10-13', 'property': 'birthDate', 'subject': 'Nie_Haisheng'}, {'object': 'Fighter_pilot', 'property': 'occupation', 'subject': 'Nie_Haisheng'}]","['Nie Haisheng, born on October 13, 1964, worked as a fighter pilot.', 'Nie Haisheng is a former fighter pilot who was born on October 13, 1964.', 'Nie Haisheng born on 10/13/1964 is a fighter pilot.']","Nie Haisheng was born on October 13, 1964. He is a fighter pilot by occupation.",0.47156632089063605,0.8353033884948777,1.218271255493164
3,Airport,1,"[{'object': 'Fawkham', 'property': 'city', 'subject': 'MotorSport_Vision'}]","['MotorSport Vision is located in the city of Fawkham.', 'MotorSport Vision is located in the city of Fawkham, UK.', 'MotorSport Vision is located in Fawkham.']",MotorSport Vision is located in the city of Fawkham.,1.0,0.9993141289437586,0.9155948162078856
4,Athlete,3,"[{'object': '185.0 (centimetres)', 'property': 'height', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'Otkrytiye_Arena', 'property': 'ground', 'subject': 'FC_Spartak_Moscow'}, {'object': 'FC_Spartak_Moscow', 'property': 'club', 'subject': 'Aleksandr_Prudnikov'}]","['185 centimetre tall Aleksandr Prudnikov played for the Otkrytiye Arena based FC Spartak, Moscow.', 'The 185 cm tall Aleksandr Prudnikov plays for FC Spartak Moscow who call their home ground Otkrytiye Arena.', 'Aleksandr Prudnikov who is 185 cm tall, plays for FC Spartak Moscow whose ground is the Otkrytiye Arena.']",Aleksandr Prudnikov is a player for FC Spartak Moscow. He has a height of 185.0 centimeters. FC Spartak Moscow plays their home matches at Otkrytiye Arena.,0.12142567939068617,0.5376296817302622,1.8514039516448972
5,City,5,"[{'object': '1777539', 'property': 'populationMetro', 'subject': 'Ciudad_Ayala'}, {'object': '""City Manager""', 'property': 'leaderTitle', 'subject': 'Ciudad_Ayala'}, {'object': 'City', 'property': 'type', 'subject': 'Ciudad_Ayala'}, {'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': 'Council-manager_government', 'property': 'governmentType', 'subject': 'Ciudad_Ayala'}]","['Ciudad Ayala is a city with population density and population of 1604 and 1777539 respectively, where the leader is called the City Manager. The government type in the city of Ciudad Ayala is council-manager.', 'The city of Ciudad Ayala, with a population of 1,777,539, is led by a City Manager on a council-manager government system. It has a population density of 1604.', 'Ciudad Ayala, a city with population density and population of 1604.0 and 1,777,539 respectively, uses a type of government called council-manager government. One of the leaders of Ciudad Ayala is the City Manager.']","Ciudad Ayala is a city with a population density of 1604.0. It has a metropolitan population of 1777539. The government type is council-manager government and the leader is titled ""City Manager"".",0.3594606003627824,0.4663944147602919,1.8354358673095703
6,MusicalWork,2,"[{'object': 'Squeeze_(The_Velvet_Underground_album)', 'property': 'precededBy', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': '1969:_The_Velvet_Underground_Live', 'property': 'followedBy', 'subject': 'Squeeze_(The_Velvet_Underground_album)'}]","['The album 1969: The Velvet Underground Live is preceded by the Velvet Underground album Squeeze, which was followed by The Quine Tapes.', 'The Velvet Underground album Bootleg Series Volume 1: The Quine Tapes was preceded by the album Squeeze, which was followed by the live album 1969: The Velvet Underground Live.', 'The Bootleg Series Volume I: The Quine Tapes is preceded by the Velvet Underground album Squeeze which was itself followed by the album 1969: The Velvet Underground Live.']","The album ""Bootleg Series Volume 1: The Quine Tapes"" was preceded by ""Squeeze (The Velvet Underground album)"". ""Squeeze (The Velvet Underground album)"" was followed by ""1969: The Velvet Underground Live"".",0.2505523539251516,0.5798969072164949,2.036586046218872
7,City,5,"[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': 'Governator', 'property': 'leaderTitle', 'subject': 'Ciudad_Ayala'}, {'object': 'Mexico', 'property': 'country', 'subject': 'Ciudad_Ayala'}, {'object': '1147.0', 'property': 'elevationAboveTheSeaLevel', 'subject': 'Ciudad_Ayala'}, {'object': 'Pacific_Daylight_Time', 'property': 'timeZone', 'subject': 'Ciudad_Ayala'}]","['Ciudad Ayala in Mexico with population density of 1604.0 and elevated 1147.0 above sea level is in the PDT time zone. The leader here is called the governator.', 'Ciudad Ayala is a country in Mexico that is located 1147 above sea level and is in the Pacific Daylight time zone. The population density is 1604 and the leader of Ciudad Ayala is called the governator.', 'Ciudad Ayala is located in Mexico and has a population density of 1604. The city stands 1147 m above sea level. The Governator is the leader of Ciudad Ayala located in the Pacific Daylight time zone.']",Ciudad Ayala is located in Mexico. It has a population density of 1604.0 people per square kilometer and an elevation above sea level of 1147.0 meters. The leader of Ciudad Ayala holds the title of Governator. The time zone in Ciudad Ayala is Pacific Daylight Time.,0.2992711501336116,0.5495783783783783,2.4421651363372803
8,Scientist,1,"[{'object': '1991-12-09', 'property': 'deathDate', 'subject': 'Olga_Bondareva'}]","['Olga Bondareva died on December 9, 1991.', 'Olga Bondareva died on the 9th of December, 1991.', ""The date of Olga Bondareva's death was the ninth of December 1991.""]",Olga Bondareva passed away on 9 December 1991.,0.16515821590069035,0.7198748043818466,1.0184009075164795
9,Scientist,3,"[{'object': '1703-05-27', 'property': 'foundingDate', 'subject': 'Saint_Petersburg'}, {'object': 'Saint_Petersburg', 'property': 'deathPlace', 'subject': 'Olga_Bondareva'}, {'object': '1439.0', 'property': 'areaTotal', 'subject': 'Saint_Petersburg'}]","['Saint Petersburg was founded on May 27, 1703 and has a total area of 1439.0, Olga Bondareva passed away at Saint Petersburg.', 'Saint Petersburg, where Olga Bondareva died, was founded on the 27th of May, 1703 and has a total area of approximately 1439 km2.', 'Saint Petersburg, where Olga Bondareva died, was founded on May 27, 1703 and consists of a total area of 1439.0 sq/km.']",Saint Petersburg was founded on 27 May 1703. Olga Bondareva died in Saint Petersburg. The total area of Saint Petersburg is 1439.0.,0.2623762003935851,0.5769944341372912,1.53425931930542
10,City,1,"[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}]","['The population density of Ciudad Ayala is 1604.0.', 'Ciudad Ayala city has a population density of 1604.0.', 'The population density in Ciudad Ayala is 1604.']",Ciudad Ayala has a population density of 1604.0.,0.7652058832556895,0.8918539325842695,1.0088129043579102
