id,category,tripleset_size,tripleset,lexicalisations,prediction_llama-7b,bleu_nltk_llama-7b,meteor_llama-7b,execution_time_llama-7b
1,SportsTeam,5,"[{'object': 'Arapiraca', 'property': 'location', 'subject': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca'}, {'object': 'Campeonato_Brasileiro_Série_C', 'property': 'league', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Brazil', 'property': 'country', 'subject': 'Campeonato_Brasileiro_Série_C'}, {'object': '""\'\'Alvinegro""', 'property': 'nickname', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca', 'property': 'ground', 'subject': 'Agremiação_Sportiva_Arapiraquense'}]","['Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Agremiação Sportiva Arapiraquense, nicknamed ""Alvinegro"", lay in the Campeonato Brasileiro Série C league from Brazil.', 'Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Alvinegro, the nickname of Agremiação Sportiva Arapiraquense, play in the Campeonato Brasileiro Série C league from Brazil.']","Arapiraca is a Brazilian football club based in Arapiraca, Alagoas. Arapiraca is currently playing in the Campeonato Brasileiro Série C, the third tier of Brazilian football. Arapiraca is nicknamed Alvinegro. Arapiraca plays its home games at Estádio Municipal Coaracy da Mata Fonseca.",0.18095004088512673,0.4143620943952802,5.72553300857544
2,Astronaut,2,"[{'object': '1964-10-13', 'property': 'birthDate', 'subject': 'Nie_Haisheng'}, {'object': 'Fighter_pilot', 'property': 'occupation', 'subject': 'Nie_Haisheng'}]","['Nie Haisheng, born on October 13, 1964, worked as a fighter pilot.', 'Nie Haisheng is a former fighter pilot who was born on October 13, 1964.', 'Nie Haisheng born on 10/13/1964 is a fighter pilot.']","Nie Haisheng was born on October 13, 1964. He was a fighter pilot.",0.5266403878479265,0.7153712548849327,5.717529535293579
3,Airport,1,"[{'object': 'Fawkham', 'property': 'city', 'subject': 'MotorSport_Vision'}]","['MotorSport Vision is located in the city of Fawkham.', 'MotorSport Vision is located in the city of Fawkham, UK.', 'MotorSport Vision is located in Fawkham.']",Fawkham is a city in the MotorSport_Vision.,0.1561969968460128,0.35866477272727276,5.792077302932739
4,Athlete,3,"[{'object': '185.0 (centimetres)', 'property': 'height', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'Otkrytiye_Arena', 'property': 'ground', 'subject': 'FC_Spartak_Moscow'}, {'object': 'FC_Spartak_Moscow', 'property': 'club', 'subject': 'Aleksandr_Prudnikov'}]","['185 centimetre tall Aleksandr Prudnikov played for the Otkrytiye Arena based FC Spartak, Moscow.', 'The 185 cm tall Aleksandr Prudnikov plays for FC Spartak Moscow who call their home ground Otkrytiye Arena.', 'Aleksandr Prudnikov who is 185 cm tall, plays for FC Spartak Moscow whose ground is the Otkrytiye Arena.']",Aleksandr Prudnikov is 185 cm tall and plays for FC Spartak Moscow.,0.3396652792246058,0.5076628352490421,5.685226678848267
5,City,5,"[{'object': '1777539', 'property': 'populationMetro', 'subject': 'Ciudad_Ayala'}, {'object': '""City Manager""', 'property': 'leaderTitle', 'subject': 'Ciudad_Ayala'}, {'object': 'City', 'property': 'type', 'subject': 'Ciudad_Ayala'}, {'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': 'Council-manager_government', 'property': 'governmentType', 'subject': 'Ciudad_Ayala'}]","['Ciudad Ayala is a city with population density and population of 1604 and 1777539 respectively, where the leader is called the City Manager. The government type in the city of Ciudad Ayala is council-manager.', 'The city of Ciudad Ayala, with a population of 1,777,539, is led by a City Manager on a council-manager government system. It has a population density of 1604.', 'Ciudad Ayala, a city with population density and population of 1604.0 and 1,777,539 respectively, uses a type of government called council-manager government. One of the leaders of Ciudad Ayala is the City Manager.']","City Manager, City, 1604.0, Council-manager_government, Ciudad_Ayala, populationMetro, populationDensity, leaderTitle, type, populationDensity, populationMetro, leaderTitle, type, populationDensity, populationMetro, populationDensity, populationMetro, populationDensity, populationMetro, populationDensity, populationMetro, populationDensity, populationMetro, populationDensity, populationMetro, populationDensity, populationMetro, populationDensity, populationMetro",0.012414943415352932,0.017730496453900707,5.7364583015441895
6,MusicalWork,2,"[{'object': 'Squeeze_(The_Velvet_Underground_album)', 'property': 'precededBy', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': '1969:_The_Velvet_Underground_Live', 'property': 'followedBy', 'subject': 'Squeeze_(The_Velvet_Underground_album)'}]","['The album 1969: The Velvet Underground Live is preceded by the Velvet Underground album Squeeze, which was followed by The Quine Tapes.', 'The Velvet Underground album Bootleg Series Volume 1: The Quine Tapes was preceded by the album Squeeze, which was followed by the live album 1969: The Velvet Underground Live.', 'The Bootleg Series Volume I: The Quine Tapes is preceded by the Velvet Underground album Squeeze which was itself followed by the album 1969: The Velvet Underground Live.']",Squeeze_(The_Velvet_Underground_album) precededBy Bootleg_Series_Volume_1:_The_Quine_Tapes followedBy 1969:_The_Velvet_Underground_Live,0.0,0.0,5.68045973777771
7,City,5,"[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': 'Governator', 'property': 'leaderTitle', 'subject': 'Ciudad_Ayala'}, {'object': 'Mexico', 'property': 'country', 'subject': 'Ciudad_Ayala'}, {'object': '1147.0', 'property': 'elevationAboveTheSeaLevel', 'subject': 'Ciudad_Ayala'}, {'object': 'Pacific_Daylight_Time', 'property': 'timeZone', 'subject': 'Ciudad_Ayala'}]","['Ciudad Ayala in Mexico with population density of 1604.0 and elevated 1147.0 above sea level is in the PDT time zone. The leader here is called the governator.', 'Ciudad Ayala is a country in Mexico that is located 1147 above sea level and is in the Pacific Daylight time zone. The population density is 1604 and the leader of Ciudad Ayala is called the governator.', 'Ciudad Ayala is located in Mexico and has a population density of 1604. The city stands 1147 m above sea level. The Governator is the leader of Ciudad Ayala located in the Pacific Daylight time zone.']",Ciudad_Ayala is a city in Mexico. The population density is 1147.0. The elevation above the sea level is 1604.0. The leader title is Governator. The country is Mexico.,0.16653831334339092,0.39682783281282363,5.691310167312622
8,Scientist,1,"[{'object': '1991-12-09', 'property': 'deathDate', 'subject': 'Olga_Bondareva'}]","['Olga Bondareva died on December 9, 1991.', 'Olga Bondareva died on the 9th of December, 1991.', ""The date of Olga Bondareva's death was the ninth of December 1991.""]","Olga Bondareva died on December 9, 1991.",1.0,0.9985422740524781,5.728387832641602
9,Scientist,3,"[{'object': '1703-05-27', 'property': 'foundingDate', 'subject': 'Saint_Petersburg'}, {'object': 'Saint_Petersburg', 'property': 'deathPlace', 'subject': 'Olga_Bondareva'}, {'object': '1439.0', 'property': 'areaTotal', 'subject': 'Saint_Petersburg'}]","['Saint Petersburg was founded on May 27, 1703 and has a total area of 1439.0, Olga Bondareva passed away at Saint Petersburg.', 'Saint Petersburg, where Olga Bondareva died, was founded on the 27th of May, 1703 and has a total area of approximately 1439 km2.', 'Saint Petersburg, where Olga Bondareva died, was founded on May 27, 1703 and consists of a total area of 1439.0 sq/km.']","Saint_Petersburg was founded on May 27, 1703. Olga Bondareva died in Saint_Petersburg. Saint_Petersburg has an area of 143.9 square kilometers.",0.2243802591724349,0.49245583440746077,5.706145524978638
10,City,1,"[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}]","['The population density of Ciudad Ayala is 1604.0.', 'Ciudad Ayala city has a population density of 1604.0.', 'The population density in Ciudad Ayala is 1604.']",1604.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationD,0.0,0.0,5.759466886520386
